漢字,臺羅,頻次nc,,,
做人,tso3-lang5,15,,做人,
水雞,tsui2-ke1,15,,青蛙,
大海,tua7-hai2,15,,大海,
俺公,an2-kong1,14,,,
肉體,bah4-the2,14,,肉體,
勉強,bian2-kiong2,14,,勉強,
兄長,hing1-tiong2,14,,兄長,
遠遠,hng7-hng7,14,,遠遠,
華語,hua5-gi2,14,,華語,
和尚,hue5-siunn7,14,,和尚,
敢講,kam2-kong2,14,,難道,
教示,ka3-si7,14,, 教訓,
隔壁,keh4-piah4,14,,鄰居,
巨人,ki7-jin5,14,, 巨人,
鼻仔,phinn7-a2,14,, 鼻子,
瘦猴,san2-kau5,14,,瘦皮猴,
生相,senn1-siunn3,14,, 生肖,
閃爍,siam2-sih4,14,,閃爍,
輸贏,su1-iann5,14,,輸贏,
提著,theh8-tioh8,14,,拿著,
甜粿,tinn1-kue2,14,,甜年糕,
草地,tshau2-te7,14,,鄉下,
痴情,tshi1-tsing5,14,,痴情,
彰化,tsiong1-hua3,14,,彰化,
一時,tsit8-si5,14,,一時,
注射,tsu3-sia7,14,,打針,
牧童,bok8-tong5,13,,牧童,
外媽,gua7-ma2,13,,外婆,
吩咐,huan1-hu3,13,,吩咐,
忍耐,jim2-nai7,13,,忍耐,
規氣,kui1-khi3,13,,乾脆,
挵著,long3-tioh8,13,,撞到,
露螺,loo7-le5,13,,,
囉嗦,lo1-so1,13,,囉嗦,
毋願,m7-guan7,13,,不願,
兩百,nng7-pah4,13,,兩百 ,
祕密,pi3-bit8,13,,祕密,
保重,po2-tiong7,13,,保重,
掃帚,sau3-tshiu2,13,,掃帚,
雙手,siang1-tshiu2,13,,雙手,
四十,si3-tsap8,13,,四十,
通好,thang1-ho2,13,,,
壯士,tsong3-su7,13,,壯士,
水牛,tsui2-gu5,13,,水牛,
畫圖,ue7-too5,13,,畫圖,
阿美,a1-bi2,12,,,
夢中,bang7-tiong1,12,,夢中,
無人,bo5-lang5,12,, 沒人,
海上,hai2-siong7,12,,,
海水,hai2-tsui2,12,,海水,
恆春,hing5-tshun1,12,,,
歇熱,hioh4-juah8,12,,暑假,
恩師,in1-su1,12,,恩師,
到位,kau3-ui7,12,,,
客氣,kheh4-khi3,12,,客氣,
溪水,khe1-tsui2,12,,溪水,
起去,khi2-khi3,12,,上去,
各種,kok4-tsiong2,12,,各種,
懸懸,kuan5-kuan5,12,, 高高,
了了,liau2-liau2,12,,,
王妃,ong5-hui1,12,,王妃,
王爺,ong5-ia5,12,,王爺,
放學,pang3-oh8,12,,放學,
包仔,pau1-a2,12,,包子,
飯桶,png7-thang2,12,,飯桶,
序細,si7-se3,12,,晚輩,
修理,siu1-li2,12,,修理,
團圓,thuan5-inn5,12,,團圓,
電火,tian7-hue2,12,,電燈,
得著,tit4-tioh8,12,,得到,
親姆,tshenn1-m2,12,,親家母,
食著,tsiah8-tioh8,12,,吃到,
照著,tsio3-tioh8,12,, 照到,
祖先,tsoo2-sian1,12,,祖先,
水面,tsui2-bin7,12,,水面,
大橋,tua7-kio5,12,,大橋,
大大,tua7-tua7,12,,,
紅紅,ang5-ang5,11,,,
紅包,ang5-pau1,11,,紅包,
微微,bi5-bi5,11,,微微,
海面,hai2-bin7,11,,海面,
鳳山,hong7-suann1,11,,鳳山,
犯人,huan7-lang5,11,,犯人,
雲南,hun5-lam5,11,,雲南,
永生,ing2-sing1,11,,,
日語,jit8-gi2,11,,日語,
甘蔗,kam1-tsia3,11,,甘蔗,
??,khat4,11,,,
管訓,kuan2-hun3,11,,管訓,
垃圾,lah4-sap4,11,,,
禮貌,le2-mau7,11,,禮貌,
綿綿,mi5-mi5,11,,,
放手,pang3-tshiu2,11,,放手,
白雲,peh8-hun5,11,,白雲,
檳榔,pin1-nng5,11,,檳榔,
貧僧,pin5-tsing1,11,,貧僧,
半暝,puann3-me5,11,,半夜,
不可,put4-kho2,11,,不可,
三百,sann1-pah4,11,,,
收聽,siu1-thiann1,11,,收聽,
地名,te7-mia5,11,,地名,
趁食,than3-tsiah8,11,,討生活,
天星,thinn1-tshenn1,11,,天星,
豬肉,ti1-bah4,11,,豬肉,
竹仔,tik4-a2,11,,竹子,
弟弟,ti10tih4,11,,,
昨暗,tsa1-am3,11,,昨晚,
菜瓜,tshai3-kue1,11,,絲瓜,
青青,tshenn1-tshenn1,11,,綠綠的,
喙瀾,tshui3-nua7,11,, 口水,
村民,tshun1-bin5,11,,村民,
伸手,tshun1-tshiu2,11,,伸手,
出外,tshut4-gua7,11,,出外,
借過,tsioh4-kue3,11,,借過,
終點,tsiong1-tiam2,11,,終點,
做仙,tso3-sian1,11,,成仙,
船隻,tsun5-tsiah4,11,,船隻,
大廳,tua7-thiann1,11,,大廳,
有錢,u7-tsinn5,11,,,
目箍,bak8-khoo1,10,, 眼眶,
廟尪,bio7-ang1,10,,廟祝,
海口,hai2-khau2,10,,海口,
學兄,hak8-hing1,10,,學兄,
現時,hian7-si5,10,,現時,
賢弟,hian5-te7,10,,賢弟,
好料,ho2-liau7,10,,好料,
紅葉,hong5-iap8,10,,紅葉,
風雨,hong1-u2,10,,風雨,
鰗鰡,hoo5-liu1,10,,泥鰍,
雨水,hoo7-tsui2,10,,雨水,
煙火,ian1-hue2,10,,煙火,
藥房,ioh8-pang5,10,,藥房,
以早,i2-tsa2,10,,以前,
解救,kai2-kiu3,10,,解救,
客廳,kheh4-thiann1,10,,客廳,
徛鵝,khia7-go5,10,,企鵝,
弓蕉,king1-tsio1,10,,香蕉,
叫聲,kio3-siann1,10,,叫聲,
哥哥,ko1-koh4,10,,哥哥,
講起,kong2-khi2,10,,,
乖乖,kuai1-kuai1,10,,乖乖,
老爺,lau7-ia5,10,,老爺,
林場,lim5-tiunn5,10,,林場,
龍眼,ling5-ging2,10,,龍眼,
良心,liong5-sim1,10,,良心,
擂臺,lui5-tai5,10,,擂臺,
拜拜,pai3-pai3,10,,拜拜,
炮仔,phau3-a2,10,,鞭炮,
菝仔,puat8-a2,10,, 番石榴,
不能,put4-ling5,10,,不能,
佛祖,put8-tsoo2,10,,佛祖,
寫字,sia2-ji7,10,,寫字,
相親,siong3-tshin1,10,,相親,
大家,ta1-ke1,10,,婆婆,
頭名,thau5-mia5,10,,第一名,
疼惜,thiann3-sioh4,10,,疼惜,
天邊,thinn1-pinn1,10,,天邊,
糖廠,thng5-tshiunn2,10,,糖廠,
討海,tho2-hai2,10,,,
重卿,tiong5-khing1,10,,,
桌仔,toh4-a2,10,,桌子,
多多,to1-to1,10,,,
走去,tsau2-khi3,10,,,
臭頭,tshau3-thau5,10,,,
青草,tshenn1-tshau2,10,,青草,
笑詼,tshio3-khue1,10,,,
秋天,tshiu1-thinn1,10,,秋天,
初戀,tshoo1-luan5,10,,初戀,
喙仔,tshui3-a2,10,,嘴,
喙焦,tshui3-ta1,10,,口渴,
大雨,tua7-hoo7,10,,大雨,
阿男,a1-lam5,9,,,
鴟鴞,ba7-hioh8,9,,老鷹,
袂記,be7-ki3,9,,,
米粉,bi2-hun2,9,,米粉,
帽仔,bo7-a2,9,, 帽子,
武士,bu2-su7,9,,武士,
五百,goo7-pah4,9,,五百,
海邊,hai2-pinn1,9,,海邊,
漁船,hi5-tsun5,9,,漁船,
轟動,hong1-tong7,9,,轟動,
雨傘,hoo7-suann3,9,,雨傘,
好心,ho2-sim1,9,,,
薰吹,hun1-tshue1,9,,煙斗,
幼秀,iu3-siu3,9,,,
日出,jit8-tshut4,9,,日出,
嘉南,ka1-lam5,9,,嘉南,
咖哩,ka1-li2,9,,咖哩,
鉸刀,ka1-to1,9,,剪刀,
看過,khuann3-kue3,9,,看過,
看破,khuann3-phua3,9,,看破,
行行,kiann5-kiann5,9,,,
囝孫,kiann2-sun1,9,,子孫,
金剛,kim1-kong1,9,,金剛,
顧厝,koo3-tshu3,9,,,
難忘,lan5-bong7,9,,,
蘆洲,loo5-tsiu1,9,,蘆洲,
烏雲,oo1-hun5,9,,黑雲,
歹人,phainn2-lang5,9,,,
膨鼠,phong3-tshi2,9,, 松鼠,
簿仔,phoo7-a2,9,, 簿子,
表兄,piau2-hiann1,9,,表哥,
邊仔,pinn1-a2,9,,,
生湠,senn1-thuann3,9,,,
數想,siau3-siunn7,9,,,
釋迦,sik4-khia1,9,,釋迦,
山崙,suann1-lun7,9,,山丘,
山坪,suann1-phiann5,9,,,
四季,su3-kui3,9,,四季,
四序,su3-si7,9,,,
ta,ta1,9,,,
豆腐,tau7-hu7,9,,豆腐,
豆乾,tau7-kuann1,9,,豆干,
豆奶,tau7-ling1,9,, 豆漿,
短短,te2-te2,9,,短短,
泰國,thai3-kok4,9,,泰國,
窗仔,thang1-a2,9,, 窗子,
兔仔,thoo3-a2,9,,兔子,
店內,tiam3-lai7,9,,店內,
